BioSample	GenBank
SAMN12324503	GCA_007704435.1_PDT000546221.1
SAMN12349177	GCA_007728785.1_PDT000547900.1
SAMN12221107	GCA_007802475.1_PDT000539214.1
SAMN12221034	GCA_007802935.1_PDT000539144.1
SAMN12248676	GCA_007806525.1_PDT000540510.1
SAMN12365306	GCA_007848075.1_PDT000549445.1
SAMN12371076	GCA_007852445.1_PDT000549859.1
SAMN12374512	GCA_007855665.1_PDT000550007.1
SAMN12404590	GCA_007881365.1_PDT000551713.1
SAMN12414776	GCA_007881705.1_PDT000551737.1
SAMN12423351	GCA_007887465.1_PDT000553449.1
SAMN12423523	GCA_007887705.1_PDT000553507.1
SAMN12423699	GCA_007888725.1_PDT000553528.1
SAMN12434498	GCA_007890385.1_PDT000554043.1
SAMN12505066	GCA_007967765.1_PDT000556535.1
SAMN12622404	GCA_008128725.1_PDT000572775.1
SAMN12621386	GCA_008146825.1_PDT000571237.1
SAMN12623525	GCA_008147805.1_PDT000571288.1
SAMN12604328	GCA_008158225.1_PDT000568933.1
SAMN12609883	GCA_008164605.1_PDT000569402.1
SAMN12611312	GCA_008169465.1_PDT000569953.1
SAMN12627929	GCA_008181845.1_PDT000573119.1
SAMN12643091	GCA_008193065.1_PDT000574377.1
SAMN12545080	GCA_008212345.1_PDT000559223.1
SAMN12658507	GCA_008257065.1_PDT000575942.1
SAMN12636701	GCA_008259525.1_PDT000576139.1
SAMN12687000	GCA_008303585.1_PDT000579414.1
SAMN12690748	GCA_008312675.1_PDT000579975.1
SAMN12684612	GCA_008322805.1_PDT000579091.1
SAMN12697808	GCA_008349345.1_PDT000580707.1
SAMN12700007	GCA_008352145.1_PDT000580958.1
SAMN12726917	GCA_008393675.1_PDT000584460.1
SAMN05379474	GCA_008427385.1_PDT000139298.2
SAMN07281127	GCA_008432045.1_PDT000221206.2
SAMN06693624	GCA_008432185.1_PDT000201040.2
SAMN07147021	GCA_008432945.1_PDT000214940.2
SAMN07258038	GCA_008433385.1_PDT000219647.2
SAMN07258042	GCA_008433425.1_PDT000219650.2
SAMN07260950	GCA_008433445.1_PDT000219795.2
SAMN07261003	GCA_008433465.1_PDT000219847.2
SAMN07268425	GCA_008433585.1_PDT000220070.2
SAMN07277065	GCA_008433925.1_PDT000220838.2
SAMN07277432	GCA_008433965.1_PDT000220852.2
SAMN07286124	GCA_008434205.1_PDT000221504.2
SAMN07286122	GCA_008434285.1_PDT000221509.2
SAMN06481439	GCA_008434825.1_PDT000195160.2
SAMN07218948	GCA_008434885.1_PDT000219480.2
SAMN07280782	GCA_008434985.1_PDT000221152.2
SAMN07341689	GCA_008436265.1_PDT000224410.2
SAMN07418884	GCA_008436425.1_PDT000227394.2
SAMN07418915	GCA_008436445.1_PDT000227414.2
SAMN07415563	GCA_008436785.1_PDT000227224.2
SAMN07967218	GCA_008438585.1_PDT000263819.2
SAMN08437317	GCA_008439025.1_PDT000282737.2
SAMN08773398	GCA_008440305.1_PDT000296783.2
SAMN06135408	GCA_008483365.1_PDT000172342.2
SAMN07124728	GCA_008485865.1_PDT000210808.2
SAMN07260986	GCA_008486085.1_PDT000219834.2
SAMN07375277	GCA_008486345.1_PDT000226021.2
SAMN07280779	GCA_008486385.1_PDT000221147.2
SAMN07277784	GCA_008486705.1_PDT000220856.2
SAMN07415545	GCA_008487545.1_PDT000227207.2
SAMN07449842	GCA_008487585.1_PDT000231359.2
SAMN07449801	GCA_008487665.1_PDT000231323.2
SAMN07418916	GCA_008487905.1_PDT000227410.2
SAMN07498643	GCA_008488745.1_PDT000232847.2
SAMN07519883	GCA_008488825.1_PDT000235556.2
SAMN06677650	GCA_008528055.1_PDT000200251.2
SAMN07375296	GCA_008528935.1_PDT000226025.2
SAMN07449846	GCA_008530015.1_PDT000231365.2
SAMN07449818	GCA_008530275.1_PDT000231338.2
SAMN07449820	GCA_008530475.1_PDT000231336.2
SAMN07490573	GCA_008530915.1_PDT000233762.2
SAMN08773312	GCA_008533875.1_PDT000296724.2
SAMN07415555	GCA_008553195.1_PDT000227227.2
SAMN07268437	GCA_008556135.1_PDT000220069.2
SAMN12714974	GCA_008585525.1_PDT000582699.1
SAMN12773087	GCA_008596035.1_PDT000587704.1
SAMN12779897	GCA_008600085.1_PDT000588170.1
SAMN12779933	GCA_008602465.1_PDT000588186.1
SAMN12782274	GCA_008621375.1_PDT000588558.1
SAMN12816759	GCA_008678935.1_PDT000591263.1
SAMN12818541	GCA_008705375.1_PDT000591282.1
SAMN12839184	GCA_008747215.1_PDT000593688.1
SAMN12875730	GCA_008803595.1_PDT000597427.1
SAMN12876915	GCA_008804715.1_PDT000597568.1
SAMN12879753	GCA_008813715.1_PDT000598057.1
SAMN12880294	GCA_008815715.1_PDT000598163.1
SAMN12906220	GCA_008838625.1_PDT000599621.1
SAMN04544370	GCA_008869175.1_PDT000113133.2
SAMN12906560	GCA_008890615.1_PDT000599848.1
SAMN04893764	GCA_008901145.1_PDT000128386.2
SAMN05294448	GCA_008911765.1_PDT000136782.2
SAMN05437593	GCA_008938995.1_PDT000143187.2
SAMN13002794	GCA_008970235.1_PDT000603643.1
SAMN05789733	GCA_008977445.1_PDT000150456.2
SAMN05901206	GCA_008983845.1_PDT000152168.2
SAMN06285375	GCA_009043485.1_PDT000187001.2
SAMN06062319	GCA_009059045.1_PDT000163552.2
SAMN06099713	GCA_009059785.1_PDT000167913.2
SAMN13027552	GCA_009072085.1_PDT000607774.1
SAMN13027728	GCA_009087645.1_PDT000607841.1
SAMN06172380	GCA_009092445.1_PDT000174477.2
SAMN06187114	GCA_009099885.1_PDT000176925.2
SAMN06231045	GCA_009111945.1_PDT000179323.2
SAMN06213969	GCA_009119465.1_PDT000177727.2
SAMN06049083	GCA_009153255.1_PDT000184667.2
SAMN06564154	GCA_009164985.1_PDT000195316.2
SAMN06564349	GCA_009165225.1_PDT000195360.2
SAMN06642205	GCA_009178985.1_PDT000198293.2
SAMN06672341	GCA_009191965.1_PDT000199456.2
SAMN06806024	GCA_009210845.1_PDT000205932.2
SAMN06854162	GCA_009217855.1_PDT000207102.2
SAMN06883753	GCA_009219285.1_PDT000209586.2
SAMN06891164	GCA_009221025.1_PDT000211438.2
SAMN06912774	GCA_009221045.1_PDT000212289.2
SAMN07141955	GCA_009252645.1_PDT000212406.2
SAMN07146647	GCA_009253165.1_PDT000212641.2
SAMN06481431	GCA_009280165.1_PDT000195275.2
SAMN06481440	GCA_009280255.1_PDT000195197.2
SAMN06481430	GCA_009280445.1_PDT000195358.2
SAMN07179506	GCA_009302475.1_PDT000215564.2
SAMN07173333	GCA_009302775.1_PDT000215590.2
SAMN07180480	GCA_009302895.1_PDT000215656.2
SAMN05513885	GCA_009313555.1_PDT000144447.3
SAMN04202520	GCA_009314155.1_PDT000094115.3
SAMN07213168	GCA_009325635.1_PDT000219555.2
SAMN07258014	GCA_009326175.1_PDT000219625.2
SAMN07258018	GCA_009326315.1_PDT000219634.2
SAMN07258039	GCA_009326415.1_PDT000219653.2
SAMN07258049	GCA_009326475.1_PDT000219654.2
SAMN07260988	GCA_009326995.1_PDT000219835.2
SAMN07268416	GCA_009327415.1_PDT000220052.2
SAMN07268417	GCA_009327455.1_PDT000220051.2
SAMN07268414	GCA_009327555.1_PDT000220075.2
SAMN07268531	GCA_009327855.1_PDT000220093.2
SAMN07255621	GCA_009328155.1_PDT000220189.2
SAMN07277033	GCA_009329475.1_PDT000220828.2
SAMN07277088	GCA_009329495.1_PDT000220842.2
SAMN07277406	GCA_009329835.1_PDT000220853.2
SAMN07257829	GCA_009330095.1_PDT000220936.2
SAMN07286119	GCA_009331275.1_PDT000221508.2
SAMN07286125	GCA_009331595.1_PDT000221512.2
SAMN07280788	GCA_009331935.1_PDT000221158.2
SAMN07280778	GCA_009332015.1_PDT000221150.2
SAMN07281084	GCA_009332135.1_PDT000221179.2
SAMN07281088	GCA_009332295.1_PDT000221177.2
SAMN07286120	GCA_009333915.1_PDT000221505.2
SAMN07278986	GCA_009334075.1_PDT000221564.2
SAMN07269309	GCA_009335455.1_PDT000221798.2
